ipv4,ipv6,country,region,city,latitude,longitude,serverid,servername,useragent,connectiontype,ispname,ispnameraw,download_kbps,upload_kbps,ping_ms,jitter,testid,resultDate,local_time,download_mbps,upload_mbps,isp
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,316790.0,296986.0,9,0,18391088-819a-bb8d-jb0i-8ibjj1iii0b9,2025-10-24 19:08:55+00:00,2025-10-25 02:08:55+07:00,316.79,296.986,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,312337.0,297604.0,6,0,18391095-759a-bb8d-jb0j-5hfjj5hfj0b9,2025-10-24 19:10:59+00:00,2025-10-25 02:10:59+07:00,312.337,297.604,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,316707.0,297798.0,9,0,18391130-266a-bb8d-jb1d-0cggg6cad1b9,2025-10-24 19:21:16+00:00,2025-10-25 02:21:16+07:00,316.707,297.798,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,318273.0,297725.0,5,1,18391136-696a-bb8d-jb1d-6gjgg9ggd1b9,2025-10-24 19:23:16+00:00,2025-10-25 02:23:16+07:00,318.273,297.725,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,305549.0,318860.0,8,7,18391151-225a-bb8d-jb1f-1ccff2cbf1b9,2025-10-24 19:27:43+00:00,2025-10-25 02:27:43+07:00,305.549,318.86,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,316872.0,297440.0,5,0,18391183-220a-bb8d-jb1i-3ccaa2cdi1b9,2025-10-24 19:37:37+00:00,2025-10-25 02:37:37+07:00,316.872,297.44,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,310429.0,318846.0,9,0,18391238-989a-bb8d-jb2d-8jijj8jid2b9,2025-10-24 19:54:52+00:00,2025-10-25 02:54:52+07:00,310.429,318.846,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,318291.0,297752.0,10,0,18391268-176a-bb8d-jb2g-8bhgg7big2b9,2025-10-24 20:04:16+00:00,2025-10-25 03:04:16+07:00,318.291,297.752,Viettel Group
,2001:ee0:1c43::,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,Chrome,,Vinaphone,VNPT,36542.0,,40,76,18391293-672a-bb8d-jb2j-3ghcc7gdj2b9,2025-10-24 20:12:39+00:00,2025-10-25 03:12:39+07:00,36.542,,VNPT
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,310737.0,319046.0,9,0,18391329-330a-bb8d-jb3c-9ddaa3djc3b9,2025-10-24 20:24:43+00:00,2025-10-25 03:24:43+07:00,310.737,319.046,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,305701.0,317885.0,9,0,18391344-840a-bb8d-jb3e-4ieaa4iee3b9,2025-10-24 20:30:13+00:00,2025-10-25 03:30:13+07:00,305.701,317.885,Viettel Group
14.175.193.0,,Vietnam,Thua Thien Hue,Kon Tom,16.2,107.3,72434,Tam Ky,EDGE,,Vinaphone,VNPT,893877.0,753897.0,11,0,18391366-853a-bb8d-jb3g-6ifdd5igg3b9,2025-10-24 20:38:05+00:00,2025-10-25 03:38:05+07:00,893.877,753.897,VNPT
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,309705.0,297624.0,9,0,18391415-398a-bb8d-jb4b-5djii9dfb4b9,2025-10-24 20:55:37+00:00,2025-10-25 03:55:37+07:00,309.705,297.624,Viettel Group
,2405:4803:50ba::,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,Chrome,,FPT Telecom,FPT Telecom,8142.0,9254.0,48,6,18391501-103a-bb8d-jb5a-1badd0bba5b9,2025-10-24 21:28:38+00:00,2025-10-25 04:28:38+07:00,8.142,9.254,FPT Telecom
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,327070.0,318319.0,10,0,18391630-434a-bb8d-jb6d-0edee3ead6b9,2025-10-24 22:25:38+00:00,2025-10-25 05:25:38+07:00,327.07,318.319,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,308092.0,319264.0,5,0,18391636-188a-bb8d-jb6d-6biii8bgd6b9,2025-10-24 22:28:25+00:00,2025-10-25 05:28:25+07:00,308.092,319.264,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,315889.0,296466.0,6,0,18391643-920a-bb8d-jb6e-3jcaa2jde6b9,2025-10-24 22:32:12+00:00,2025-10-25 05:32:12+07:00,315.889,296.466,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,309998.0,318779.0,6,0,18391727-829a-bb8d-jb7c-7icjj2ihc7b9,2025-10-24 23:15:00+00:00,2025-10-25 06:15:00+07:00,309.998,318.779,Viettel Group
42.1.84.0,,Vietnam,,,16.17,107.83,72434,Tam Ky,Chrome,,MobiFone,MobiFone,20028.0,7058.0,51,7,18391757-074a-bb8d-jb7f-7ahee7ahf7b9,2025-10-24 23:31:00+00:00,2025-10-25 06:31:00+07:00,20.028,7.058,MobiFone
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,310718.0,297936.0,6,0,18391769-138a-bb8d-jb7g-9bdii3bjg7b9,2025-10-24 23:37:44+00:00,2025-10-25 06:37:44+07:00,310.718,297.936,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,306072.0,296890.0,10,0,18391776-544a-bb8d-jb7h-6feee4fgh7b9,2025-10-24 23:41:52+00:00,2025-10-25 06:41:52+07:00,306.072,296.89,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,300272.0,318655.0,5,1,18391787-923a-bb8d-jb7i-7jcdd2jhi7b9,2025-10-24 23:48:00+00:00,2025-10-25 06:48:00+07:00,300.272,318.655,Viettel Group
,2001:ee0:1c0a::,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,SAFARI,,Vinaphone,VNPT,17086.0,14629.0,57,26,18391788-722a-bb8d-jb7i-8hccc2hii7b9,2025-10-24 23:48:26+00:00,2025-10-25 06:48:26+07:00,17.086,14.629,VNPT
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,320384.0,297634.0,9,0,18391824-085a-bb8d-jb8c-4aiff8aec8b9,2025-10-25 00:08:35+00:00,2025-10-25 07:08:35+07:00,320.384,297.634,Viettel Group
14.175.154.0,,Vietnam,Quang Nam Province,Điện Bàn,15.89,108.26,72434,Tam Ky,Chrome,,Vinaphone,VNPT,10993.0,4826.0,14,4,18391864-315a-bb8d-jb8g-4dbff1deg8b9,2025-10-25 00:31:18+00:00,2025-10-25 07:31:18+07:00,10.993,4.826,VNPT
