"resultDate","ipAddress","ipv6 address","country","region","city","latitude","longitude","serverId","serverName","userAgent","connectionType","ispName","ispNameRaw","download (Kbps)","upload (Kbps)","ping (ms)","jitter","testId"
"2025-10-24T17:21:08.000Z",,"2401:d800:95b0::","Vietnam","Thua Thien Hue","Huế",16.47,107.6,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","257165.00","54224.00",27,18,"18390702-503a-bb8d-ja7a-2fadd0fca7a9"
"2025-10-24T17:05:20.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","299107.00","319186.00",6,0,"18390640-781a-bb8d-ja6e-0hibb8hae6a9"
"2025-10-24T17:01:55.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","316327.00","297549.00",7,0,"18390627-734a-bb8d-ja6c-7hdee3hhc6a9"
"2025-10-24T16:45:40.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","312939.00","297276.00",5,0,"18390564-338a-bb8d-ja5g-4ddii3deg5a9"
"2025-10-24T16:35:59.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","206183.00","234035.00",4,1,"18390525-307a-bb8d-ja5c-5dahh0dfc5a9"
"2025-10-24T15:58:24.000Z",,"2402:800:6236::","Vietnam","Quang Nam Province","Thăng Bình",15.73,108.37,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","422647.00","453119.00",3,0,"18390374-673a-bb8d-ja3h-4ghdd7geh3a9"
"2025-10-24T15:56:57.000Z","117.2.253.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","CHROME","n/a","Viettel","Viettel Group","309425.00","315021.00",10,1,"18390368-900a-bb8d-ja3g-8jaaa0jig3a9"
"2025-10-24T15:51:17.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","189857.00","191795.00",4,0,"18390345-935a-bb8d-ja3e-5jdff3jfe3a9"
"2025-10-24T15:48:47.000Z","113.167.91.0",,"Vietnam","Thanh Hoa","Phu Ly",19.85,105.68,72434,"Tam Ky","Firefox","n/a","Vinaphone","VNPT","614930.00","321524.00",18,1,"18390335-842a-bb8d-ja3d-5iecc4ifd3a9"
"2025-10-24T15:44:59.000Z","116.111.225.0",,"Vietnam","Quang Nam Province","Gia Phuoc",15.63,108.38,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","527193.00","323408.00",3,27,"18390320-347a-bb8d-ja3c-0dehh4dac3a9"
"2025-10-24T15:37:16.000Z","221.132.15.0",,"Vietnam",,,16.17,107.83,72434,"Tam Ky","Firefox","n/a","Vinaphone","VNPT","348107.00","308563.00",19,0,"18390288-099a-bb8d-ja2i-8ajjj9aii2a9"
"2025-10-24T15:33:43.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","269579.00","243485.00",4,0,"18390273-631a-bb8d-ja2h-3gdbb3gdh2a9"
